baseline,trade_count,hit_rate,expectancy_after_cost,total_net_pnl,profit_factor,max_drawdown
absorption_vwap,558,0.7634408602150538,-0.323329945164657,-180.4181094018786,0.9918717766583975,-3778.915636462414
high_volume_only,5500,0.7132727272727273,-4.69176369579177,-25804.700326854734,0.9017233355923148,-34744.90353849469
low_displacement_only,47039,0.5703990305916368,-3.618897552663544,-170229.32197974043,0.898836733691746,-206592.41911067013
vwap_fade_no_absorption,109629,0.5838053799633308,-4.152807312517549,-455268.11286398635,0.8917029280887526,-492451.40423485957
rsi_reversal,33040,0.4794188861985472,-10.313067321597977,-340743.74430559715,0.7612259344680593,-360837.06216420676
random_direction_on_absorption,558,0.3924731182795699,-36.86246965531622,-20569.25806766645,0.37255445467203047,-20652.433862762977
