volume_lookback,high_volume_percentile_threshold,atr_length,max_displacement_atr,near_vwap_threshold_atr,reversal_horizon_bars,trade_count,hit_rate,expectancy_after_cost,profit_factor,validation_status,passes_hard_filters
50,90.0,20,0.2,0.1,5,26,0.4230769230769231,-0.48451424730816284,0.6019788173772447,CANDIDATE,False
50,90.0,20,0.2,0.1,10,26,0.6153846153846154,0.13919425258959214,1.1186963124738998,CANDIDATE,False
50,90.0,20,0.2,0.1,15,26,0.5384615384615384,-0.0555076871244707,0.9640995058398985,CANDIDATE,False
50,90.0,20,0.2,0.1,20,26,0.7307692307692307,0.54718462056749,1.4914266022367044,CANDIDATE,False
50,90.0,20,0.2,0.25,5,26,0.4230769230769231,-0.48451424730816284,0.6019788173772447,CANDIDATE,False
50,90.0,20,0.2,0.25,10,26,0.6153846153846154,0.13919425258959214,1.1186963124738998,CANDIDATE,False
50,90.0,20,0.2,0.25,15,26,0.5384615384615384,-0.0555076871244707,0.9640995058398985,CANDIDATE,False
50,90.0,20,0.2,0.25,20,26,0.7307692307692307,0.54718462056749,1.4914266022367044,CANDIDATE,False
50,90.0,20,0.2,0.5,5,24,0.4166666666666667,-0.43602412743621244,0.6417466943352685,CANDIDATE,False
50,90.0,20,0.2,0.5,10,24,0.625,0.20466008078634937,1.1700187587009991,CANDIDATE,False
50,90.0,20,0.2,0.5,15,24,0.5416666666666666,0.1341496460962238,1.0913877804799625,CANDIDATE,False
50,90.0,20,0.2,0.5,20,24,0.75,0.8162329794292115,1.841477298380541,CANDIDATE,False
50,90.0,20,0.2,0.75,5,22,0.4090909090909091,-0.3378319204951946,0.7061169533059752,CANDIDATE,False
50,90.0,20,0.2,0.75,10,22,0.6363636363636364,0.4924599430204663,1.4906756678645563,CANDIDATE,False
50,90.0,20,0.2,0.75,15,22,0.5454545454545454,0.2787212869947821,1.195096032894828,CANDIDATE,False
50,90.0,20,0.2,0.75,20,22,0.7727272727272727,1.01417583244901,2.1343095228203395,CANDIDATE,False
50,90.0,20,0.3,0.1,5,33,0.3939393939393939,-0.6204671457847077,0.5053052473812021,CANDIDATE,False
50,90.0,20,0.3,0.1,10,33,0.5757575757575758,-0.15148469131974818,0.8866954937998325,CANDIDATE,False
50,90.0,20,0.3,0.1,15,33,0.5151515151515151,-0.27917930074170616,0.8352482667296961,CANDIDATE,False
50,90.0,20,0.3,0.1,20,33,0.696969696969697,0.15627524471269819,1.1143730999227994,CANDIDATE,False
50,90.0,20,0.3,0.25,5,33,0.3939393939393939,-0.6204671457847077,0.5053052473812021,CANDIDATE,False
