volume_lookback,high_volume_percentile_threshold,atr_length,max_displacement_atr,near_vwap_threshold_atr,reversal_horizon_bars,trade_count,hit_rate,expectancy_after_cost,profit_factor,max_drawdown,validation_status,passes_hard_filters
50,90.0,20,0.2,0.1,5,1938,0.6790505675954592,-1.866622393369698,0.9338275737478877,-5099.337280570335,CANDIDATE,False
50,90.0,20,0.2,0.1,10,1938,0.7105263157894737,-4.505083007565762,0.8671174158353445,-10172.294298200723,CANDIDATE,False
50,90.0,20,0.2,0.1,15,1938,0.7208462332301342,-5.98223994076685,0.8361956425787168,-12517.415069884291,CANDIDATE,False
50,90.0,20,0.2,0.1,20,1938,0.7368421052631579,-6.1232993132368,0.839525158297571,-13167.08425530716,CANDIDATE,False
50,90.0,20,0.2,0.25,5,1630,0.6331288343558282,-2.5967498807706977,0.9189028738402424,-5956.439227209681,CANDIDATE,False
50,90.0,20,0.2,0.25,10,1630,0.6674846625766871,-5.3760604517479305,0.8599436043257422,-10150.217593601803,CANDIDATE,False
50,90.0,20,0.2,0.25,15,1630,0.6785276073619632,-7.017148555454405,0.830352820364411,-12353.09378273972,CANDIDATE,False
50,90.0,20,0.2,0.25,20,1630,0.6975460122699386,-7.208788471924812,0.833642557880347,-13681.234401112928,CANDIDATE,False
50,90.0,20,0.2,0.5,5,1235,0.5668016194331984,-4.574042289116989,0.8771020629603394,-7737.846986310375,CANDIDATE,False
50,90.0,20,0.2,0.5,10,1235,0.6008097165991902,-8.056982424541426,0.8210428888473676,-11543.28567908328,CANDIDATE,False
50,90.0,20,0.2,0.5,15,1235,0.6129554655870445,-9.393698759233464,0.804467812752866,-12705.916511822608,CANDIDATE,False
50,90.0,20,0.2,0.5,20,1235,0.6356275303643725,-9.720756752962387,0.8081986437470176,-13786.475384711797,CANDIDATE,False
50,90.0,20,0.2,0.75,5,972,0.5308641975308642,-4.838907457088467,0.8770058824745695,-6701.600872011924,CANDIDATE,False
50,90.0,20,0.2,0.75,10,972,0.5596707818930041,-9.232492188471598,0.8098954061032211,-10423.292941030384,CANDIDATE,False
50,90.0,20,0.2,0.75,15,972,0.5679012345679012,-11.271103024438062,0.7845227044085952,-12149.795376677655,CANDIDATE,False
50,90.0,20,0.2,0.75,20,972,0.5915637860082305,-12.30603581061091,0.7805154903315019,-13270.717866884428,CANDIDATE,False
50,90.0,20,0.3,0.1,5,2910,0.6742268041237114,-2.2792570345080545,0.9188469598627378,-10170.601619187355,CANDIDATE,False
