signal_name,event_position,timestamp,symbol,session_date,session_bucket,location_vs_vwap,direction,entry_price,target_or_horizon_exit_price,pure_horizon_exit_price,vwap_touched,bars_to_vwap_touch,horizon_bars,gross_pnl_points,gross_pnl_value,cost_points,cost_value,net_pnl_points,net_pnl_value,pure_horizon_gross_pnl_points,pure_horizon_net_pnl_value,win,pure_horizon_win,mfe_points,mae_points,mfe_mae_ratio,volume_percentile,volume_percentile_band,displacement_atr,displacement_atr_band,vwap_distance_atr,vwap_distance_atr_band
absorption_vwap,546,2020-01-13 09:30:00-05:00,MNQ.v.0,2020-01-13,first_30m,below_vwap,long,9018.5,9021.333333333334,9030.5,True,1.0,15,2.8333333333339397,5.666666666667879,0.5,1.0,2.3333333333339397,4.666666666667879,12.0,23.0,True,True,19.0,14.75,1.2881355932203389,99.0,97.5-99,0.1450676982591876,0.10-0.20,-0.32882011605422895,0.25-0.50
absorption_vwap,781,2020-01-16 09:35:00-05:00,MNQ.v.0,2020-01-16,first_30m,above_vwap,short,9104.25,9101.564432989691,9094.0,True,3.0,15,2.6855670103086595,5.371134020617319,0.5,1.0,2.1855670103086595,4.371134020617319,10.25,19.5,True,True,10.75,15.25,0.7049180327868853,97.0,95-97.5,0.1349527665317139,0.10-0.20,0.28993975819796597,0.25-0.50
absorption_vwap,1058,2020-01-22 09:40:00-05:00,MNQ.v.0,2020-01-22,first_30m,above_vwap,short,9235.0,9227.397550913496,9237.25,True,5.0,15,7.602449086503839,15.204898173007678,0.5,1.0,7.102449086503839,14.204898173007678,-2.25,-5.5,True,False,10.75,19.0,0.5657894736842105,97.0,95-97.5,0.10089686098654709,0.10-0.20,1.022750998184373,1.00-2.00
absorption_vwap,1242,2020-01-24 12:00:00-05:00,MNQ.v.0,2020-01-24,midday,below_vwap,long,9204.75,9170.25,9170.25,False,,15,-34.5,-69.0,0.5,1.0,-35.0,-70.0,-34.5,-70.0,False,False,0.0,42.75,0.0,96.0,95-97.5,0.14359792580773834,0.10-0.20,-3.648834175945714,>2.00
absorption_vwap,1293,2020-01-27 09:45:00-05:00,MNQ.v.0,2020-01-27,first_30m,above_vwap,short,8974.0,8962.27392046485,8972.25,True,4.0,15,11.726079535150348,23.452159070300695,0.5,1.0,11.226079535150348,22.452159070300695,1.75,2.5,True,True,28.0,20.25,1.382716049382716,95.0,<=95,0.0958904109589041,0-0.10,0.6425249060356355,0.50-1.00
absorption_vwap,1368,2020-01-28 09:30:00-05:00,MNQ.v.0,2020-01-28,first_30m,below_vwap,long,9021.25,9025.166666666666,9067.5,True,6.0,15,3.9166666666660603,7.833333333332121,0.5,1.0,3.4166666666660603,6.833333333332121,46.25,91.5,True,True,53.25,20.0,2.6625,98.0,97.5-99,0.26485568760611206,0.20-0.30,-0.38030560271641917,0.25-0.50
absorption_vwap,1446,2020-01-29 09:30:00-05:00,MNQ.v.0,2020-01-29,first_30m,above_vwap,short,9149.5,9147.083333333334,9110.0,True,1.0,15,2.4166666666660603,4.833333333332121,0.5,1.0,1.9166666666660603,3.8333333333321207,39.5,78.0,True,True,77.25,9.25,8.35135135135135,98.0,97.5-99,0.031965903036760786,0-0.10,0.277037826318516,0.25-0.50
absorption_vwap,1453,2020-01-29 10:05:00-05:00,MNQ.v.0,2020-01-29,morning,below_vwap,long,9081.75,9116.574377332514,9123.5,True,11.0,15,34.824377332513905,69.64875466502781,0.5,1.0,34.324377332513905,68.64875466502781,41.75,82.5,True,True,41.75,8.75,4.771428571428571,97.0,95-97.5,0.228898426323319,0.20-0.30,-4.042847191131777,>2.00
absorption_vwap,1586,2020-01-30 14:40:00-05:00,MNQ.v.0,2020-01-30,afternoon,above_vwap,short,9077.0,9070.305575989341,9144.0,True,1.0,15,6.694424010658622,13.388848021317244,0.5,1.0,6.194424010658622,12.388848021317244,-67.0,-135.0,True,False,12.0,71.25,0.16842105263157894,98.0,97.5-99,0.05626758361988121,0-0.10,0.5022387504088994,0.50-1.00
absorption_vwap,1603,2020-01-31 09:35:00-05:00,MNQ.v.0,2020-01-31,first_30m,below_vwap,long,9147.75,9062.0,9062.0,False,,15,-85.75,-171.5,0.5,1.0,-86.25,-172.5,-85.75,-172.5,False,False,0.25,95.0,0.002631578947368421,99.0,97.5-99,0.10730253353204174,0.10-0.20,-0.3379413723460612,0.25-0.50
absorption_vwap,1623,2020-01-31 11:15:00-05:00,MNQ.v.0,2020-01-31,morning,below_vwap,long,9046.75,9031.25,9031.25,False,,15,-15.5,-31.0,0.5,1.0,-16.0,-32.0,-15.5,-32.0,False,False,25.5,31.75,0.8031496062992126,99.0,97.5-99,0.18054162487462386,0.10-0.20,-2.7914195137987807,>2.00
absorption_vwap,2227,2020-02-12 09:35:00-05:00,MNQ.v.0,2020-02-12,first_30m,above_vwap,short,9596.75,9593.621821305842,9577.0,True,1.0,15,3.128178694158123,6.256357388316246,0.5,1.0,2.628178694158123,5.256357388316246,19.75,38.5,True,True,37.75,7.0,5.392857142857143,95.0,<=95,0.09803921568627451,0-0.10,0.2845630348359312,0.25-0.50
absorption_vwap,2582,2020-02-19 09:40:00-05:00,MNQ.v.0,2020-02-19,first_30m,above_vwap,short,9701.5,9721.25,9721.25,False,,15,-19.75,-39.5,0.5,1.0,-20.25,-40.5,-19.75,-40.5,False,False,0.25,21.75,0.011494252873563218,95.0,<=95,0.2891566265060241,0.20-0.30,0.38154645555215067,0.25-0.50
absorption_vwap,2817,2020-02-24 09:45:00-05:00,MNQ.v.0,2020-02-24,first_30m,above_vwap,short,9172.25,9139.624547109011,9128.5,True,8.0,15,32.62545289098853,65.25090578197705,0.5,1.0,32.12545289098853,64.25090578197705,43.75,86.5,True,True,60.75,30.0,2.025,96.0,95-97.5,0.24453501296776584,0.20-0.30,1.4394421440973038,1.00-2.00
absorption_vwap,2895,2020-02-25 09:45:00-05:00,MNQ.v.0,2020-02-25,first_30m,below_vwap,long,9118.75,9140.139921077287,9005.0,True,1.0,15,21.389921077287,42.779842154574,0.5,1.0,20.889921077287,41.779842154574,-113.75,-228.5,True,False,29.0,134.0,0.21641791044776118,97.0,95-97.5,0.15064562410329985,0.10-0.20,-0.920656574345208,0.50-1.00
absorption_vwap,2904,2020-02-25 10:30:00-05:00,MNQ.v.0,2020-02-25,morning,below_vwap,long,9044.75,9023.0,9023.0,False,,15,-21.75,-43.5,0.5,1.0,-22.25,-44.5,-21.75,-44.5,False,False,34.75,102.75,0.3381995133819951,98.0,97.5-99,0.28407169428474804,0.20-0.30,-2.574766253561057,>2.00
absorption_vwap,3298,2020-03-03 15:50:00-05:00,MNQ.v.0,2020-03-03,last_30m,below_vwap,long,8625.25,8596.0,8596.0,False,,1,-29.25,-58.5,0.5,1.0,-29.75,-59.5,-29.25,-59.5,False,False,33.5,49.75,0.6733668341708543,99.0,97.5-99,0.12273954668194093,0.10-0.20,-2.2139588549531037,>2.00
absorption_vwap,3454,2020-03-05 15:50:00-05:00,MNQ.v.0,2020-03-05,last_30m,below_vwap,long,8655.5,8671.5,8671.5,False,,1,16.0,32.0,0.5,1.0,15.5,31.0,16.0,31.0,True,True,37.75,13.0,2.9038461538461537,97.0,95-97.5,0.055970149253731345,0-0.10,-2.560292272786962,>2.00
