trades,hit_rate,avg_winner,avg_loser,median_winner,median_loser,win_loss_ratio,expectancy_before_cost,expectancy_after_cost,cost_drag_per_trade,profit_factor,max_drawdown,positive_folds,min_fold_trades,fold_totals,fold_trade_counts,events,baseline_name,baseline_hit_rate,lift_pp,baseline_options,volume_percentile_band
229,0.7510917030567685,54.37701212876777,-151.9561403508772,37.838647199965635,-118.5,0.35784675764472235,4.01897854213125,3.01897854213125,1.0,1.0798182862261798,-1830.4943154090543,3,45,"[-896.0692550532658, 644.1630813325901, 1102.9229871726784, 566.5474707861977, -726.2181980901441]","[46, 46, 46, 46, 45]",238,random_direction,0.39737991266375544,35.37117903930131,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -74.65151656022103, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.39737991266375544, 'expectancy_after_cost': -33.48195910041523, 'profit_factor': 0.4056308603555864}]",95-97.5
143,0.7902097902097902,55.33114938610566,-171.33333333333334,24.33333333333212,-152.25,0.32294445166987734,8.779160004405169,7.779160004405169,1.0,1.2164241012898713,-1542.461062152619,3,28,"[301.3269926839712, -639.6559865449381, 513.3700638479786, -694.7183356184541, 1632.0971462613816]","[29, 29, 29, 28, 28]",149,random_direction,0.4195804195804196,37.06293706293706,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -82.5904839482153, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.4195804195804196, 'expectancy_after_cost': -19.636201772354713, 'profit_factor': 0.5532302558177998}]",97.5-99
54,0.8888888888888888,28.358786906575613,-424.1666666666667,17.593172656233946,-211.0,0.06685765086029614,-20.921819046006863,-21.921819046006863,1.0,0.5348612068823692,-2054.5,3,10,"[116.22279934132894, 297.12796868271107, 370.4426314712691, -111.738294646344, -1855.8333333333358]","[11, 11, 11, 11, 10]",55,random_direction,0.4074074074074074,48.148148148148145,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -87.17503292559276, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.4074074074074074, 'expectancy_after_cost': -61.735620323504044, 'profit_factor': 0.13701626791611568}]",99-100
