trades,hit_rate,avg_winner,avg_loser,median_winner,median_loser,win_loss_ratio,expectancy_before_cost,expectancy_after_cost,cost_drag_per_trade,profit_factor,max_drawdown,positive_folds,min_fold_trades,fold_totals,fold_trade_counts,events,baseline_name,baseline_hit_rate,lift_pp,baseline_options,displacement_atr_band
193,0.7461139896373057,48.15800864548508,-175.63541666666666,28.41496474336782,-119.25,0.27419303896367764,-6.749983186788331,-7.749983186788331,1.0,0.8225791168910328,-2662.1547734690685,3,38,"[441.85896040130865, -118.73664107848526, 38.191131699430116, 409.60767297409984, -2266.667879046501]","[39, 39, 39, 38, 38]",201,random_direction,0.36787564766839376,37.82383419689119,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -88.01552120940266, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.36787564766839376, 'expectancy_after_cost': -41.00021696116029, 'profit_factor': 0.346399453597681}]",0-0.10
171,0.7894736842105263,56.371448317447616,-145.86111111111111,31.3630987709912,-92.25,0.38647346018436757,14.796172648277356,13.796172648277356,1.0,1.4492754756913784,-1507.6865425786527,4,34,"[-230.00811846726174, 737.0876560691286, 737.9301162301235, 1036.5025479858632, 77.6333210375742]","[35, 34, 34, 34, 34]",180,random_direction,0.3742690058479532,41.52046783625731,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -75.9453008483389, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.3742690058479532, 'expectancy_after_cost': -33.61384880180271, 'profit_factor': 0.3987383042502704}]",0.10-0.20
194,0.7577319587628866,50.82437498498532,-181.17021276595744,35.66876285585022,-135.5,0.28053383726298414,-4.380499367047209,-5.380499367047209,1.0,0.877414342077844,-2305.5432456733615,1,38,"[-906.8635633152771, -628.7382429494864, 1653.5491755199619, -573.6184199600029, -588.1458265023539]","[39, 39, 39, 39, 38]",198,random_direction,0.32989690721649484,42.78350515463917,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -86.8065531091103, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.32989690721649484, 'expectancy_after_cost': -54.544647686168815, 'profit_factor': 0.2390475605040496}]",0.20-0.30
