symbol,window_name,window_months,window_start_timestamp,window_end_timestamp,bars_loaded,signal_events,trades_or_labelled_outcomes,hit_rate,same_window_baseline_hit_rate,baseline_name,lift_over_baseline_pp,expectancy_before_cost,expectancy_after_cost,profit_factor,max_drawdown,positive_weeks,total_weeks,positive_week_pct,positive_months,total_months,positive_month_pct,largest_week_profit_share,largest_month_profit_share,largest_week_or_month_profit_contribution,sample_size_minimum,sample_size_sufficient,recent_regime_label,comments_failure_reason
MES,3_month,3,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,30,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
MES,6_month,6,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,50,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
MES,12_month,12,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,75,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
MCL,1_month,1,2026-02-06T14:25:00-05:00,2026-03-06T14:25:00-05:00,1321,20,18,0.6666666666666666,0.3333333333333333,random_direction,33.33333333333333,-3.3275419342516384,-5.327541934251638,0.7700341611114391,-226.06342927946866,2,4,0.5,1,2,0.5,,,,20,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
MCL,3_month,3,2025-12-06T14:25:00-05:00,2026-03-06T14:25:00-05:00,4149,47,38,0.6578947368421053,0.47368421052631576,random_direction,18.421052631578956,-2.2271792606177674,-4.227179260617767,0.7272787573794982,-355.71527372486406,7,12,0.5833333333333334,1,4,0.25,,,,30,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
MCL,6_month,6,2025-09-06T14:25:00-04:00,2026-03-06T14:25:00-05:00,8439,92,73,0.6164383561643836,0.2465753424657534,random_direction,36.986301369863014,-1.831126502624178,-3.831126502624178,0.7056081740088783,-467.34124165547064,12,23,0.5217391304347826,2,7,0.2857142857142857,,,,50,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
MCL,12_month,12,2025-03-06T14:25:00-05:00,2026-03-06T14:25:00-05:00,17002,184,147,0.6666666666666666,0.3197278911564626,random_direction,34.6938775510204,-0.952569557072048,-2.9525695570720476,0.7946888718592285,-674.1042236026501,26,48,0.5416666666666666,4,13,0.3076923076923077,,,,75,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
M2K,1_month,1,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,20,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
M2K,3_month,3,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,30,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
M2K,6_month,6,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,50,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
M2K,12_month,12,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,75,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
MGC,1_month,1,2026-02-06T13:25:00-05:00,2026-03-06T13:25:00-05:00,1236,15,14,0.8571428571428571,0.2857142857142857,random_direction,57.14285714285714,96.17858770404187,94.17858770404187,3.0796533562406423,-436.00000000000546,4,4,1.0,2,2,1.0,0.4061205797479604,0.8264472452355257,0.8264472452355257,20,False,INSUFFICIENT_RECENT_DATA,sample size below window minimum
MGC,3_month,3,2025-12-06T13:25:00-05:00,2026-03-06T13:25:00-05:00,3901,43,37,0.6756756756756757,0.3783783783783784,random_direction,29.729729729729726,-27.255731043941942,-29.255731043941942,0.7566954262472794,-2349.9999999999945,9,12,0.75,2,4,0.5,,,,30,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
MGC,6_month,6,2025-09-06T13:25:00-04:00,2026-03-06T13:25:00-05:00,7929,99,92,0.7282608695652174,0.33695652173913043,random_direction,39.130434782608695,-15.373595861267948,-17.373595861267948,0.786969103127195,-3130.694041094235,16,25,0.64,3,7,0.42857142857142855,,,,50,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
MGC,12_month,12,2025-03-06T13:25:00-05:00,2026-03-06T13:25:00-05:00,15983,198,178,0.7247191011235955,0.4044943820224719,random_direction,32.02247191011236,-1.4199070434793366,-3.419907043479337,0.9337530249494697,-3240.567312493814,34,51,0.6666666666666666,7,13,0.5384615384615384,,,,75,True,WARNING_ONLY,directional lift exists but expectancy is negative or profit factor <= 1
GC,1_month,1,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,20,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
GC,3_month,3,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,30,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
GC,6_month,6,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,50,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
GC,12_month,12,,,0,0,0,,,,,,,,,0,0,,0,0,,,,,75,False,INSUFFICIENT_RECENT_DATA,not available: raw data or config missing
