signal_name,timestamp,symbol,session_date,direction,entry_timestamp,entry_price,exit_price,exit_reason,horizon_bars,gross_pnl_points,cost_points,net_pnl_points,net_pnl_value,win,location_vs_vwap,volume_percentile,displacement_atr
absorption_vwap,2024-01-02 10:54:00,MNQ,2024-01-02,long,2024-01-02 10:55:00,16989.72,16989.46,TIME_STOP,15,-0.26000000000203727,0.5,-0.7600000000020373,-0.7600000000020373,False,below_vwap,97.6470588235294,0.07510953473829031
absorption_vwap,2024-01-02 11:20:00,MNQ,2024-01-02,short,2024-01-02 11:21:00,16996.91,16994.50918962259,VWAP_TARGET,15,2.40081037741038,0.5,1.9008103774103802,1.9008103774103802,True,above_vwap,100.0,0.037488284910422526
absorption_vwap,2024-01-02 11:55:00,MNQ,2024-01-02,short,2024-01-02 11:56:00,16995.68,16994.292276807577,VWAP_TARGET,15,1.3877231924234366,0.5,0.8877231924234366,0.8877231924234366,True,above_vwap,99.0,0.014611872146437669
absorption_vwap,2024-01-02 11:56:00,MNQ,2024-01-02,short,2024-01-02 11:57:00,16995.0,16994.29804538088,VWAP_TARGET,15,0.7019546191186237,0.5,0.20195461911862367,0.20195461911862367,True,above_vwap,96.0,0.2513708335901493
absorption_vwap,2024-01-02 12:30:00,MNQ,2024-01-02,short,2024-01-02 12:31:00,16998.85,16995.4872167816,VWAP_TARGET,15,3.3627832183992723,0.5,2.8627832183992723,2.8627832183992723,True,above_vwap,99.0,0.012017625852239866
absorption_vwap,2024-01-02 12:42:00,MNQ,2024-01-02,long,2024-01-02 12:43:00,16992.32,16988.67,TIME_STOP,15,-3.650000000001455,0.5,-4.150000000001455,-4.150000000001455,False,below_vwap,97.0,0.2360072220791717
absorption_vwap,2024-01-02 12:45:00,MNQ,2024-01-02,long,2024-01-02 12:46:00,16992.41,16987.83,TIME_STOP,14,-4.579999999998108,0.5,-5.079999999998108,-5.079999999998108,False,below_vwap,96.0,0.18765882582899798
absorption_vwap,2024-01-02 12:47:00,MNQ,2024-01-02,long,2024-01-02 12:48:00,16992.63,16987.83,TIME_STOP,12,-4.799999999999272,0.5,-5.299999999999272,-5.299999999999272,False,below_vwap,97.0,0.21467603434791035
absorption_vwap,2024-01-03 11:03:00,MNQ,2024-01-03,long,2024-01-03 11:04:00,17018.57,17015.41,TIME_STOP,15,-3.1599999999998545,0.5,-3.6599999999998545,-3.6599999999998545,False,below_vwap,99.0,0.04756556781356005
absorption_vwap,2024-01-03 11:20:00,MNQ,2024-01-03,long,2024-01-03 11:21:00,17016.87,17020.784722767694,VWAP_TARGET,15,3.9147227676949115,0.5,3.4147227676949115,3.4147227676949115,True,below_vwap,100.0,0.035643564356488994
absorption_vwap,2024-01-03 11:55:00,MNQ,2024-01-03,long,2024-01-03 11:56:00,17006.21,17011.83,TIME_STOP,15,5.620000000002619,0.5,5.120000000002619,5.120000000002619,True,below_vwap,100.0,0.0038138825318069867
absorption_vwap,2024-01-03 11:57:00,MNQ,2024-01-03,long,2024-01-03 11:58:00,17007.41,17012.38,TIME_STOP,15,4.970000000001164,0.5,4.470000000001164,4.470000000001164,True,below_vwap,97.0,0.24463680843107763
absorption_vwap,2024-01-03 12:30:00,MNQ,2024-01-03,long,2024-01-03 12:31:00,17006.68,16999.95,TIME_STOP,15,-6.729999999999563,0.5,-7.229999999999563,-7.229999999999563,False,below_vwap,100.0,0.007615179591484659
absorption_vwap,2024-01-03 12:41:00,MNQ,2024-01-03,long,2024-01-03 12:42:00,17001.31,17001.39,TIME_STOP,15,0.07999999999810825,0.5,-0.42000000000189175,-0.42000000000189175,False,below_vwap,95.0,0.2581661717481576
