trades,hit_rate,avg_winner,avg_loser,median_winner,median_loser,win_loss_ratio,expectancy_before_cost,expectancy_after_cost,cost_drag_per_trade,profit_factor,max_drawdown,positive_folds,min_fold_trades,fold_totals,fold_trade_counts,events,baseline_name,baseline_hit_rate,lift_pp,baseline_options,session_bucket
331,0.8610271903323263,32.87288416970597,-192.32608695652175,24.0,-178.5,0.17092264855956532,2.576350418024777,1.576350418024777,1.0,1.0589772791190462,-1639.9649210419448,3,66,"[-278.5351153484935, 548.9166268484223, 1035.4983808926008, -837.4306944697455, 53.322790443417034]","[67, 66, 66, 66, 66]",331,random_direction,0.459214501510574,40.18126888217523,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -38.00367643675929, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.459214501510574, 'expectancy_after_cost': -16.794367963109323, 'profit_factor': 0.4709486629307584}]",first_30m
135,0.6296296296296297,83.45700315260133,-146.3877551020408,57.78105806047097,-111.5,0.5701091808835167,0.4136686516378783,-0.5863313483621216,1.0,0.9889649056142638,-1692.0,2,27,"[-169.16830886192292, -135.29426834888, 194.13514237872005, 276.9803521583963, -245.80764935519983]","[27, 27, 27, 27, 27]",135,random_direction,0.2518518518518518,37.777777777777786,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -113.18105999066239, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.2518518518518518, 'expectancy_after_cost': -81.36551778339818, 'profit_factor': 0.1668878741909503}]",morning
27,0.6666666666666666,107.9392391358706,-279.72222222222223,88.1113771729888,-129.0,0.3858801001878194,-20.281247983493678,-21.281247983493678,1.0,0.7717602003756387,-2242.448517669851,3,5,"[578.6256208808518, 438.5544725474865, 614.0326337974475, -1477.8579051102643, -727.9485176698508]","[6, 6, 5, 5, 5]",27,random_direction,0.37037037037037035,29.629629629629626,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -214.13192982961993, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.37037037037037035, 'expectancy_after_cost': -85.08156322660714, 'profit_factor': 0.3556806609686631}]",midday
51,0.6862745098039216,101.01595228043246,-166.6875,85.21357825630184,-111.5,0.6060199611874463,18.03055548657129,17.03055548657129,1.0,1.325668665097539,-982.831519575273,3,10,"[-157.7176138544928, -730.6406607722492, 785.2117980602088, 674.8475656395021, 296.85724074216705]","[11, 10, 10, 10, 10]",51,random_direction,0.4117647058823529,27.450980392156865,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -201.6800540579101, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.4117647058823529, 'expectancy_after_cost': -80.88632060001763, 'profit_factor': 0.376031334147138}]",afternoon
14,0.21428571428571427,25.0,-90.18181818181819,26.5,-46.0,0.2772177419354839,-64.5,-65.5,1.0,0.07560483870967742,-888.5,0,2,"[-302.0, -406.0, -32.5, -38.5, -138.0]","[3, 3, 3, 3, 2]",35,random_direction,0.07142857142857142,14.285714285714285,"[{'name': 'opposite_direction', 'hit_rate': 0.0, 'expectancy_after_cost': -206.30060571344023, 'profit_factor': 0.0}, {'name': 'random_direction', 'hit_rate': 0.07142857142857142, 'expectancy_after_cost': -96.90796919855958, 'profit_factor': 0.02233893605661673}]",last_30m
